razao_social;cnpj;ie;rua;bairro;cidade;estado;cep;telefone
SEW Eurodrive Brasil Ltda;"50981018000351";"587254403118";Rodovia Washington Luiz SP 310 Km 172;Condominio Industrial Compark;Rio Claro;SP;13501-600;(19) 3522-3100 
Megalaser Industria Metalurgica Ltda;"08614279000105";"253098629118";Av. Caetano Soraggi, 325;Distrito Industrial ;Capivari;SP;13360-000;(19) 3492-4242
Inoxplasma Comercio de Metais Ltda.;"67423111000181";"113341363111";R. Marques de Sto. Amaro, 1026;Vila California;São Paulo;SP;03214-080;(11) 2318-1000
Megapar Parafusos e Ferramentas Ltda;"12063563000108";"388089194117";Av. Italia, 575;Jd. São Vivente;Itupeva;SP;13295-000;(11) 4496-8740
Igus do Brasil Ltda;"01426453000147";;R. Antonio Christi, 611;Pq. Industrial III;Jundiai;SP;13213-183;(11) 3531-4487
Jund-Rol Com. e Imp. De Rolamentos Ltda;"58606716000117";"407113124113";R. Fortunato Mori, 502;Vianelo;Jundiai;SP;13207-150;(11) 3308-5800
Nobre Distr. De Prods. Metálicos Ltda;"01454778000133";"244579186117";Av. Ana Beatriz Bierrembach, 823;Vila Mimosa;Campinas;SP;13050-060;(19) 3727-3181
Damari Com. para Manut. Ltda.;"58701665000102";"407113969113";R. Bom Jesus de Pirapora, 570;Vianelo;Jundiai;SP;13207-660;(11) 4521-8373
Eletromotores JS Nardy Ltda;"02387690000109";"671086687114";Estrada Municipal Teodor Condiev, 1085;Distrito Industrial ;Sumare;SP;13171-105;(19) 3873-9766
Hydro Extrusion Brasil S/A;"50155134000150";"387027247115";Rod. Waldomiro C. Camargo, 10542;Pirapitingui;Itu ;SP;13308-910;(11) 4025-6700
Unirons Plasticos Ltda.;"97445126000101";"1770082708";Rua Willy Teichmann, 150;Distrito Industrial ;Cachoerinha;RS;94930-635;(051) 3470-1260
JDM Produtos Graficos Ltda - ME;"61262143000166";"114446753118";Rua Hipódromo, 235;Brás;São Paulo;SP;03051-000;(011) 3892-2605
Sobepart Provecto do Brasil;"01539734000106";"407225447118";Rua Éttore Mattion, 61;Vila Arens;Jundiai;SP;13202-490;(011) 4806-9360
Alfa Aluminio Comercial Ltda;"04811426000186";"623114718115";Rua Florianópolis, 252;Jardim Represa;S. de Parnaiba;SP;06529-302;(011) 4156-5577
Spin Indústria Metalúrgica Eireli;"11130225000189";"206281147115";Av. Lourenço Zacaro, 697;Campestre;Barueri;SP;06408-000;(011) 4199-2500
Engrevali Ind. de Engr. Ltda;"18172547000130";"708083514110";Rua Ver. Antonio de Castro, 226;Novo Espirito Santo ;Valinhos;SP;13273-201;(019) 3849-0535
Ruspri Comercial Ltda Epp;"13487159000124";"286180626110";Rua do Verão, 50;Jardim Ruyce;Diadema;SP;09980-090;(011) 4043-1900
Casarini Equip. Industriais Ltda;"63076863000243";"148391065110";Av. Freguesia do Ó, 1075;Limão;São Paulo;SP;02715-000;(011) 3966-3777
Sandsteel Com. Imp. E Exp. Ltda;"06045353000194";"708060667116";Av. Vice Pref. Anesio Capovilla, 349;Parque dos Cocais;Valinhos;SP;13273-180;(019) 3325-1000
Gima Maq. E equi. Ind. E com. Ltda;"02476148000122";"3247364830080";Rua Benedito Nascimento, 180;Distrito Industrial ;Itajubá;MG;37504-112;(035) 3623-3555
Travi Plasticos Industriais Ltda;"10528220000227";"290565243";Rua Gerson Andreis, 786 Pavilhao A;Distrito Industrial ;Caxias do Sul;RS;95112-130;(054) 2101-9523
TCA Tubos e Conexões de Aço Ltda.;"38951406000122";"113609695115";Rua Serra de Paracaina, 680;Mooca;São Paulo;SP;03107-020;(011) 2065-6565
Tubal Tubos Aletados Ltda.;"60633211000193";"712019533110";Rodovia SP-53/332 nº 3400;Sitio do Castanho;Varzea Paulista ;SP;13226-400;(011) 4606-8800
Usinagem W.S. Ltda;"01438307000131";"7120310641140";Rua José Pinto de Toledo, 615;Promeca;Varzea Paulista ;SP;13223-190;(011) 4995-8987
Milmaster Usinagem Ltda;"13005767000155";"714036356113";Rua João Ferracini, 1231;Vila Cocais;Vinhedo;SP;13280-000;(019) 3886.2718
Metalurgica Lucco Ltda;"59172791000180";"108961038117";Rua Liege, 165;Vila das Merces;São Paulo;SP;04298-070;(011) 2946-9063
Usinobre Indústria e Comércio Eireli;"30110623000188";"714118219117";Rua Maria Mercedes Serrano Munhoz Gallo, 159;Jd. São Lucas;Vinhedo;sp;13285-334;(019) 3826-1203
Metal Técnica Sul Ltda;"96537618000164";"278075580112";Estrada da Capuava, 1695;JD. Eliana;Cotia;SP;06713-630;(011) 4614-0532
Maria Rosalina dos Santos EPP;"09488439000180";"400071329111";Estrada Rubens de Almeida Pupo Km 0,2;Bairro dos Soares;Jarinu;SP;13240-000;(011) 4016-4141
ATI Brasil Campinas;"03246792000509";;Rua Dr. Alberto Franco Lamunier, 1484;Parque Via Norte;Campinas;SP;;(019) 3238-9098
Fresadora Sant`Ana;"50859446000144";"111186732112";Rua Maxei, 236/246;Lapa de Baixo;São Paulo;SP;05068-010;(011) 3757-8400
Usicorp Ind. Com. Maq. Equip. Ltda.;"16882066000192";"145646160110";Rua Alfredo da Motta, 24;Vila Olinda;São Paulo;SP;03379-090;(011) 2671-8697
Açotubo Tubos e Aços ;"43919968000129";"336681223118";Rua Majestic, 465;Cumbica;Guarulhos;SP;07221-060;(011) 2413-2000
Gold extruder Fabr. Máq. Equip. Ltda;"20054675000120";"353165897113";Av. Vitória Martini, 208;Comercial Vitória Martini;Indaiatuba;SP;13347-613;(019) 3935-1326
Master Laser Corte e Dobra de Chapas Ltda;"15385316000116";"421019051110";Rodovia Romildo Prado, 3211 Km-03;Sagrado Coração de Jesus;Louveira;SP;13290-000;(019) 3878-4570
Avenida Distribuidora de Tintas Ltda.;"67915835000142";"407160790110";Av. Jundiai, 667;Anhangabaú;Jundiai;SP;13208-000;(011) 4586-6449
Zincagem Espeleta Ltda EPP;"57505414000190";;Rua Valentina de Castro, 269;Vila Santa Terezinha;Varzea Paulista ;SP;13220-055;(011 4606-2009
Usina Metais Ltda;"00736681000150";"336856733116";Rua Odete Pompeo, 149;Vila Endres;Guarulhos;SP;07043-110;(011) 3629-3016
E. S. Flex Industria de Borracha Ltda;"00022862000115";"278141379110";Rua Anhanguera, 1130;JD Piratininga;Osasco;SP;06715-862;(011) 4614-4244
Adonai Facas Industriais ;"28048244000163";"206463412114";Rua Piza, 58;Vila Porto;Barueri;SP;06410-350;(011) 983266398
Plastplex Ind. e Com. de Plásticos Ltda. ;"07749406000110";"149258448110";Rua Shimzaburo Mizutani, 461;Jd Maraba;São Paulo;SP;08290-010;(011) 2518.9600
Raimundo Conti Neto Soldas M.E;"07082379000175";;Rua Graciosa Trevisan Saltori, 85 e 95;Nova Vinhedo;Vinhedo;SP;13280-000;(019) 3836-3089
Luiz Carlos Durans EPP;"20155079000107";"407357255117";Rua da Várzea, 658;Vila Maria Genoveva;Jundiai;SP;13202-700;(011) 3964-3352
Shimtek Indústria e Comércio de Resinas Ltda;"54125737000160";"388073571113";Av. Emilio Chechinato, 3995;Bairro da Chave;Itupeva;SP;13295-000;(011) 4496-4099
Coverti do Brasil Indústria e Comércio Ltda;"57547887000150";"671069027119";Rua Idalécio Rodrigues, 252;Parque Florença;Sumaré;SP;13177-451;(019) 2222-8989
GMS Indústria de Adesivos Eireli;"31572082000172";"123008597113";Rua Francisco Alarico Bergamo, 2001;São Miguel Paulista;São Paulo;SP;08230-011;(011) 2609-2243
Solmaq Soldas e Equipamentos Ltda EPP;"07631679000166";"407431890115";Rua Silva Jardim, 511;Vianelo;Jundiai;SP;13207-210;(011) 4521-0009
Julifer Corte e Dobra Eireli ME;"27462009000170";"795827172115";Rua Romeu Ciccone, 110B;Pq. São Paulo;Campinas;SP;13052-478;(019) 3225-0832
Metal Limpo Conexões Sanitárias Ltda. EP;"04386988000120";"116123367115";Rua Sarg. Jeter Augusto Pereira, 341;Pq. Novo Mundo;São Paulo;SP;02188-070;(011) 2207-7476
Poly Urethane Indústria e Comércio Ltda;"19983212000164";;Av. Industrial, 367;Dist. Industrial;Ibirité;MG;32432-145;(031) 3521-7300
Pumer Equipamentos Ltda - ME;"09617547000105";"10872910008";Av. Industrial, 367;Dist. Industrial;Ibirité;MG;32432-145;(031) 3521-7304
Salvi Instrumentos de Medição Ltda - ME;"10636332000110";"148494849116";Beco da fabrica, 23 Sala 25 ;Centro;São Paulo;SP;01030-020;(011) 3327-0033
Dimensional Equipamentos Elétricos Ltda;"56545742000157";"417068993117";Av. Armando Ragonha, 190;Village Limeira;Limeira;SP;13481-316;(019) 3446-7400
Metais Comercial Ltda;"68075613000121";"407183099119";Rua União, 681;Parque União;Jundiai;SP;13206-650;(011) 4588-7400
Usinagem e Ferramentaria Castanho Ltda;"01780902000150";"407215103111";Rod. Pres. Tancredo Neves KM 54,2;Castanho;Jundiai;SP;13206-650;(011) 4537-1051
Mauro Francisco Farrão ME;"57547309000113";"407107694110";Rua São José dos Campos, 120;Distrito Industrial ;Varzea Paulista ;SP;13222-015;(011) 4596-3626
Wellington Anderson Marceli;"29286208000109";"712130197116";Rua Vitorio Spinucci, 1450;Promeca ;Varzea Paulista ;SP;13223-200;(011) 4596-1846
Lamarck Com. de Válvulas e Conexões Ltda. ;"67526061000168";"113361851111";Rua Serra da Bocaina, 437;Belem;São Paulo;SP;03174-000;(011) 2602-2977
GS Correntes e Engrenagens Eireli ;"56696230000191";"244283046118";Rua Dr. Fernão Pompeu de Camargo, 1423;Jd. Do Trevo;Campinas;SP;13040-010;(019) 3778-4433
ACEPIL Comércio e Importadora Ltda.;"43455179000184";"108881656118";Rua Margarino Torres, 1130;Vila Maria  ;São Paulo;SP;02119-001;(011) 3465-9999
Mitsuyasu Cromo Duro Ltda;"59102186000132";"353032166114";Rua Crisolita, 210;Recreio Campestre Joia;Indaiatuba;SP;13347-060;(019) 3935-8066
R.E.T. Ind. Com. E Serviços de Usinagem Ltda;"07555272000105";"708196968114";Rua Ver. Antonio de Castro, 469;Novo Espirito Santo ;Valinhos;SP;13273-201;(019) 3859-1736
Festo Brasil Ltda;"57582793000111";;Rua Giuseppe Crespi, 76 Km 12,5;Jd. Sta. Emilia;São Paulo;SP;04183-080;(011) 5013-1800
Wam do Brasil Equipamentos Indústriais;"03594636000105";"645421297115";Rua Jaguarão, 346;Chácaras Reunidas;São José dos Campos;SP;12238-410;(011) 3933-5000
Certec Comércio de Prod. Técnicos Inds. Ltda;"66539024000121";"407152421111";Av. Humberto Cereser S/N KM 66;Caxambu;Jundiai;SP;13218-711;(011) 4527-4522
Baumer do Brasil Automação de Fabrica e de Processos, Com., Imp. E Rep. Ltda;"11165165000130";"407563050116";Rua Rodrigo Soares de Oliveira, 470;Anhangabaú;Jundiai;SP;13208-120;(011) 4523-5120
Mofertec Equipamentos Industriais Eireli;"51117935000193";"635092236117";Av. Lauro Gomes, 4997;Rudge Ramos;SBC;SP;09635-010;(011) 4368-3044
Luft-Air Hélices Ltda;"01936170000145";"382056267114";Rua Benedito da Silveira Franco, 220;Sta. Luzia;Itatiba;SP;13225-320;(011) 4534-3333
